"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 14:54:20 GMT 2024","Tue Feb 13 14:54:23 GMT 2024","3448","","","","PurchaseTest","NavigationTest","NavigationTest",""
"passed","Tue Feb 13 14:54:22 GMT 2024","Tue Feb 13 14:54:23 GMT 2024","926","","","","AddToCart","AddProductToChart","AddProductToChart",""
"passed","Tue Feb 13 14:54:20 GMT 2024","Tue Feb 13 14:54:22 GMT 2024","1890","","","","AddToCart","AddMultipleProducts","AddMultipleProducts",""
