"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 15:25:36 GMT 2024","Tue Feb 13 15:25:37 GMT 2024","866","","","","AddToCart","AddProductToChart","AddProductToChart",""
"passed","Tue Feb 13 15:25:32 GMT 2024","Tue Feb 13 15:25:37 GMT 2024","5534","","","","PurchaseTest","NavigationTest","NavigationTest",""
"failed","Tue Feb 13 15:25:37 GMT 2024","Tue Feb 13 15:26:09 GMT 2024","31547","","","","PurchaseTest","NavigationTestShouldFail","NavigationTestShouldFail",""
"passed","Tue Feb 13 15:25:32 GMT 2024","Tue Feb 13 15:25:36 GMT 2024","3955","","","","AddToCart","AddMultipleProducts","AddMultipleProducts",""
