"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 14:58:40 GMT 2024","Tue Feb 13 14:58:45 GMT 2024","4484","","","","PurchaseTest","NavigationTest","NavigationTest",""
"passed","Tue Feb 13 14:58:40 GMT 2024","Tue Feb 13 14:58:43 GMT 2024","2991","","","","AddToCart","AddMultipleProducts","AddMultipleProducts",""
"passed","Tue Feb 13 14:58:43 GMT 2024","Tue Feb 13 14:58:44 GMT 2024","982","","","","AddToCart","AddProductToChart","AddProductToChart",""
